absolute file path,filename,extension,size (in bytes),last modified,md5_checksum,sha256_checksum
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/image/orca.via_.moc_.noaa_.jpg,orca.via_.moc_.noaa_.jpg,.jpg,82546,2022-09-28 T 09:41:40,8dcb7f9f0b452054e79b0d3d6736d782,7d10518c4e8a65ad723d4b011623efda15918fe20a183c7b5ef8f2d5b0146477
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/image/k7989-7x.jpg,k7989-7x.jpg,.jpg,7864,2022-09-28 T 09:41:40,3999ce5979decabcb81adcb969b8249a,28bf7860b92b3086c43b120c25924173c61e5eb228339ec0d4347310e4e79e3a
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/image/m237a2f.gif,m237a2f.gif,.gif,7376,2022-09-28 T 09:41:40,1fe4be82b1896108055b183c384c1f07,a8c6266b14131160618ddc3e6d9057f8fc2c8cff077816323ebd1f0f34f5ca27
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/image/1005107061.tif,1005107061.tif,.tif,395734,2022-09-28 T 09:41:40,71a29e5cb072bd100d945298e78abde5,0883ce4870bc5f0c8336bb2f586f3bfcc4de28c3179215ac2b8d0bfc00238186
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/audio/11-3250JohnsonvFolinoEtAl.wma,11-3250JohnsonvFolinoEtAl.wma,.wma,21423499,2022-09-28 T 09:41:40,0822287ef2af6e97ead980c771bb8f97,2e90f5615ad4eaf273c1dfa9c4631e14a39da7f5a9a09edc5467b14f19dacd41
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/audio/NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,NEWSLINE_802AF71F439D401585C6FCB02F358307.mp3,.mp3,961195,2022-09-28 T 09:41:40,ad49bb75ecd85c86d8d4a2b418ce83cf,5d523832cd29efe1971bf88a1e9698021dda828547c1d774301424060eb10730
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/audio/mj_telework_exchange_final_100710.mp3,mj_telework_exchange_final_100710.mp3,.mp3,3471488,2022-09-28 T 09:41:40,0253b2c7820143b28f4b1febaece205d,8c276e00edc5e771559fc0970fdc688ace0c9f127d4ab4e6a4652acb705ff160
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/audio/000727.ram,000727.ram,.ram,79,2022-09-28 T 09:41:40,807f4a33e2198c1dd629c8902c37c535,d231f5779e4ec9604db2fb99ac92510b7d8263e471b2d636b4a39e8915802500
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/presentation/BudgetandGrants012710.ppt,BudgetandGrants012710.ppt,.ppt,85504,2022-09-28 T 09:41:40,4080ec664a2b4b14fec1826c42ccc3a3,9d447bf8b8ecbb659b965d005abb40d18555aea98d414c6c44b4fc1bfaedbcab
/Users/gregorymccollum/Desktop/SI676_desk/networked-services-labs/data/webfiles-samples/presentation/ADAEMPLOYMENTTaxIncentives.ppt,ADAEMPLOYMENTTaxIncentives.ppt,.ppt,137216,2022-09-28 T 09:41:40,f614356ebb35fa76d482709372237bd5,9b6b74447622ac1646a538e63e452569e111cf775d1244373678d947405e33be
